Date,Horoscopes,Overview,Love,Dating,Work,Bonus
"June 30, 2021",Cancer,"Things are not what they seem under Wednesday’s skies, Cancer. The cosmic landscape is imbued with a dream-filled haze today, as the soulful Pisces moon merges with mystical Neptune. This pairing lowers energy levels and intensifies fantasy, making it an ideal day for imaginative activities over practical ones. Later, Luna meets up with truth-revealing Pluto, bringing healing energy to relationship issues.
","Don't let anyone tell you what's right for your relationship, Cancer. Only you can determine what's best for you and your spiritual journey. For instance, in addition to the sun energizing and revitalizing you, the moon (your planetary ruler) will continue to activate your sister sign, Pisces, via your adventurous ninth house of expansion, worldly pursuits, and unknown territory. Luna will also join forces with all-encompassing Neptune, dissolving the boundaries between your personal beliefs and someone else's. So, be sure to stay grounded. Moreover, the moon will sextile powerhouse Pluto in your relationship sector, so it works both ways. In other words, don't force your opinions onto your lover.
","You could be a little freaked out by something good that came your way recently. It's not the best idea to dwell on it, though, because you know in your heart it's all right.","A new communications project could come through for you today. Or, if you don’t work in this field, you can find yourself in the middle of intense conversations. You may get triggered and react to the opinions of others—so, take your time navigating today’s energy. Your ruling planet, the moon, is in emotional Pisces and forming a hazy aspect with the planet of communication, Mercury, in your hidden twelfth house. Allow others to speak their truth, but also articulate yours clearly. Taking time to pause is a great idea too, Cancer. 
",The spotlight is on you. Don't sweat it -- you'll shine like the superstar you are!
"July 1, 2021",Cancer,"Tensions are brewing under Thursday’s skies, Cancer. Self-assertive Mars locks into a heated opposition with stifling Saturn, prompting frustrations around finances and intimate relationships. This uncomfortable contact can help you realistically reassess what needs changing around your saving and spending habits, while also illuminating unaddressed issues around partnerships. Refrain from making major purchases or borrowing money if possible.
","Cancer, you're making serious boss moves. This is especially true with today's moon hovering over your ambitious tenth house of authority. But it will also join forces with the wounded healer, Chiron. The catch? You could be second-guessing yourself when it comes to taking certain initiatives and/or risks, so you'd much rather invest in a lover that will meet the criteria on your checklist. In other words, you're not settling; you want someone who has it all together. Luna will also be in harmony with Mars and Venus via your stability-seeking second house of money, values, and self-worth. You've got your eyes on the prize.
","Nothing's too extravagant for you today, big spender. Just make sure your bank account can actually take a hit so you can take that hottie out to the best spot in town. Oh, and make sure you at least get to base two for it! ","Cancer, you are making bold career moves today. A cardinal water sign, you are one of the natural leaders of the zodiac. Your planetary ruler, the moon, is also in your tenth house of career and forming a connection with Chiron in Aries. This is also forming a positive aspect with Saturn in Aquarius retrograde in your eighth house of other people’s money. You could receive a boost in pay because of your efforts. 
","You're heading for the top. Yep, the sky is the limit! Take in the view from up there."
"July 2, 2021",Cancer,"You need an outlet today, Cancer. The cosmos suggests sending your energy towards getting ahead with your personal career ambitions, as the moon coasts through initiative-hungry Aries. Luna’s supportive connection with expressive Mercury offers the chance to engage in healing conversations. This aspect also supports any writing or communication-based endeavors, making them run more smoothly.
","You have a lot going on behind the scenes, Cancer. Granted, this could be as simple as your thoughts and daydreams, considering you've had your eye on someone for quite some time. Now, in addition to the moon's sextile to Mercury—fusing your emotions with your logical thought process—Luna will simultaneously clash with smoldering Pluto via your committed seventh house of agreements, compromise, negotiations, and significant others. Fatal attraction? It's definitely possible, so be mindful of romantic obsessions and/or general toxicity, as it could potentially affect your love life. If things feel heavy, that's your cue to take a step back. What's meant for you will always come back around.
",You've sorted out all your friends' love lives -- so what's up with your own? Get over your own fear and go for it.,"Crab, you are making important work relationship decisions. Perhaps a certain situation is no longer a fit for you, and you are at a crossroads. The Aries moon in your career house, also your planetary ruler, is forming a positive aspect with transformative Pluto in Capricorn retrograde in your work collaboration sector. Perhaps you ask for a certain title or career boost, but this isn’t what VIPs at work had in mind. Make the right decision for you and your career, you are worth it Cancer!
 
","Throw caution to the wind and go all out today! Be extravagant, be bold -- be happy."
"July 3, 2021",Cancer,"Saturday’s skies are undoubtedly heated, Cancer. Aggressive Mars locks into a contentious square with mold-breaking Uranus today, prompting an intense clash between your changing goals and your raw, unrefined talents. Seek out where growth can be achieved between those two separate worlds. Fortunately, the moon’s presence in grounded Taurus helps combat any over-reactive intensity.
","The possibilities are endless, Cancer. Your planetary ruler, the moon, will slip into sensually driven Taurus via your platonic eleventh house of associations, community, and extended networks—highlighting everything from your individual freedom to your sense of belonging in the world. Signing up for Hinge? You might even reconnect with an old flame over social media. Luna's sextile to Jupiter in your adventurous ninth house of expansion is encouraging you to venture into the unknown. The catch? Luna's square to Venus could trigger feelings of uncertainty or insecurity… but have no fear. Change is the only thing that's constant.
","Life is spiffy for you and most of your people -- those on your buddy list, anyway. If there's something you need to say to someone, now is the time.","Your hopes, dreams, and wishes are around the corner, Cancer. All that is needed is for you to believe in yourself! The moon, your planetary ruler, is in Taurus and forming an auspicious connection with expansive Jupiter in Pisces retrograde in your transformative eighth house. Together this is bringing new opportunities from the online space, social media, or your own network. Be open to the possibilities around this time. Something new could come and amplify your voice in a positive way.
 
",You rock -- and everyone knows it. Let your confidence show -- don't be shy.
"June 27, 2021",Cancer,"You’ve been completely restructuring your approach to intimate relationships, Cancer. It’s been far from easy work, but you’re making significant strides in your own growth. The heady Aquarius moon’s meeting with responsible Saturn highlights this ongoing story around intimacy today. Later, Luna’s sweet and playful link with expressive Mercury makes it easy to express yourself through song, poetry, or therapeutic outlets.
","You're torn between embracing the freedom you have within your current relationship and the opportunity to expand and explore other horizons. What's it going to be, Cancer? Single or already attached, today's astro weather will shed light on themes surrounding the ""give and take"" of a significant relationship in your life, despite whether you've consciously acknowledged it or not. Luna's sextile to the wounded healer, Chiron, could, in turn, speak to past wounds related to your sense of authority, or perhaps regarding your authority figures. The moon will also conjunct Saturn, so don't be discouraged by the reality of the situation. It's time to confront it instead.
","Get crazy and encourage your friends to do the same. You might need to try something pretty radical, but that's par for the course for you, really. Your walk on the wild side should pay off.","Dear Crab, this is an ideal day regarding your money and what you receive financially in exchange for your work. Venus, the planet of luck, moves into the expressive sign of Leo in your second house of earned income and self-worth. This is an auspicious transit that can represent more of a flow of abundance and earning with ease. If you were planning to launch a new business or strategy within your current job, today would be ideal. 
",Your inner voice has gone from a whisper to a shout -- it's time you listened.
"June 28, 2021",Leo,"Send your focus towards the close relationships in your world, Leo. The moon floats through communication-concerned Aquarius today, helping you hone in on the changing terrain of your love life. Luna’s lack of aspects makes for a slow-to-start day, so refrain from launching any new initiatives. Later, the moon plummets into soulful Pisces and merges with big-hearted Jupiter. This is bringing an optimistic feel to partnerships.
","Lady Venus joined her divine counterpart, Mars, in your sign yesterday, so the cosmos are injecting you with divine feminine and sacred masculine energies. To say this energy is seductive would be an understatement, Leo. This not only creates harmony between your romantic desires with your red-hot passions, but also adorns your auric field with sizzling charisma. Meanwhile, today's moon will slip into dreamy Pisces via your ravishing eighth house of sex, mergers, spiritual relations, and soulmate connections, bringing emphasis to themes surrounding your desire for emotional intimacy. To top it off, Luna will join forces with Jupiter—the ruler of your romantic fifth house of love—adding a layer of hope, and abundance.
","Your hunches are pure gold today. Listen to your instincts and make sure you're able to act on them. If not, you need to rearrange a few things so you can feel better about it all.","Leo, this is an auspicious time for you. The planet of abundance, Venus, is in Leo and positively influencing your sign. Today, the moon in Aquarius is in your collaboration sector, forming an opposition with Venus. At work, this could bring in the opportunity to partner with someone innovative. This can be a creatively inspiring day—especially when you can bounce ideas off others. So, practice teamwork to make the most of it. 
","Teamwork -- how mountains are climbed, problems are solved, and careers are made."
"June 29, 2021",Leo,"As a Leo, you’re not always one for sharing your messier, more vulnerable feelings. The universe is encouraging you to share these shrugged-off emotions and bring them to the light today, as the healing Pisces moon encourages you to share yourself with a trusted confidante. Meanwhile, Luna’s supportive connection with rebellious Uranus delivers fresh insight and inspiration to the career front.
","Leo, in order to fully merge with your lover's mind, body, and soul, you're going to have to leave the ego back home. Sounds jarring especially with both Mars and Venus hyping you up and igniting your fixed fires, but there is power in the ability to surrender. Single? Perhaps a situationship becomes a little too close for comfort today, as Mercury in your eleventh house of community clashes with the moon in your intimate eighth house of mergers. Luckily, a harmonious trine between the moon and your majestic planetary ruler, the sun, will help you embody the essence of yin and yang. You're in your power today.
","Lock yourself away for a little while today so you can think. You need some peace and quiet, but it's totally worthwhile. You can go deeper than ever and return with some choice ideas.","Positive shifts in your work can develop today, Leo. You have put in a lot of effort into your work, and now is a time where it can pay off. The Pisces moon is in your eighth house of other’s money with the planet of growth, Jupiter retrograde. There is also a positive activation between the moon and Pluto retrograde in Capricorn, indicating this financial harvest. This could come in the form of investors or a sum of money through a loan. Make the best use of this newfound expansion. 
",Modesty becomes you -- everyone is trying to convince you that you're wonderful!
"June 30, 2021",Leo,"It’s easy to get swept up in a fantasy world around lovers today, Leo. While a little daydreaming never hurt anyone, be mindful of going overboard with the rose-colored glasses! The sweet Pisces moon merges with reality-bending Neptune, creating a dreamy, romantic haze. This aspect encourages soulful, honest sharing. Later, the moon dances with Pluto, showing what needs transforming around your work/life balance.
","Every relationship is a work in progress, Leo. And though you're more than willing to give your all to that special someone, today's boundless moon-Neptune conjunction will activate your intimate eighth house of sex, mergers, and soulmate connections. This, in turn, dissolves the boundaries that exist between you and your lover. As you can probably imagine, this is both a blessing and a curse—especially if you're not vibing at a similar frequency. So, consider this your official cue to guard and protect your energy. Luna's sextile to Pluto suggests that the essence of this connection could easily blend in with your day—so, be mindful of this.
",You're shining a bright light on almost any situation today thanks to your wide-open heart and desire to see through to the truth of the matter. It's a great time to get answers!,"Dear Leo, be careful of accuracy today. You could make some mistakes if you are sending out an email or posting something important on social media for work. The confusing Pisces moon is activating communication-planet Mercury in Gemini in your eleventh house of networking. The tendency to overlook the details can lead to some frustration today. Just read over things and make sure that you take your time navigating projects today. 
",Not everyone has a warm personality like you -- so give people a chance to warm up.
"July 1, 2021",Leo,"Things are cosmically heating up with the arrival of July, Leo. Self-motivated Mars, who currently resides in your sign, finds itself in a tense stare down with limitation-setting Saturn. This unsettling aspect can spark relationship frictions, ones which highlight issues around commitment, future-plans, and independence. Take it slow, refrain from risky activities, and stay mindful of your body today. 
","Your fear is an illusion, Leo. The moon is sitting together with the wounded healer, Chiron, via your expansive ninth house of thrill, adventure, wisdom, and unknown territory—so, you could be feeling blocked when it comes to your next venture, whether it be personally or romantically speaking. On a much brighter note, however, Luna will be in harmony with both Mars and Venus in your sign which, in turn, bestows you with the confidence and courage needed to push through the petty challenges. So, if you're connecting with someone at a distance, or perhaps from a different religious background, don't let this get in the way of your passion.
",You've reached the pinnacle of spectacular today. Dress up your fabulous look with some hipster sensibility (or a bright orange vest) and you'll be stopping traffic. Just don't get too full of yourself.,"Dear Leo, you are feeling a massive lift in energy today! Mars in Leo, the planet of action, is firing up your first house of self. This is a great time to indulge in the arts; let your inner child shine. Where can you bring joy back into your work again? Use this time to get social with colleagues or even bring community into what you do. Flex your natural Lion charm and this will get you far professionally. 
",You are irresistible. More irresistible even than a flower or a good game of football.
"July 2, 2021",Leo,"Get out of your routine today, Leo. You’re aching for a fresh perspective after handling the tensions that emerged in recent days. The pioneering Aries moon encourages you to get out of your comfort zone, explore new things, or get lost in a good book or movie that mentally resets you. Luna’s sweet link with expressive Mercury also makes the perfect opportunity for networking and venting with friends.
","The more you bond with each other, the stronger the connection, Leo. Don't focus so much on the details of it all; go with the flow. The moon continues to ignite your thrill-seeking ninth house of adventure, expansion, and personal philosophy, and it will form a sweet sextile to savvy Mercury via your freedom-loving eleventh house of community today. The catch? Luna will face off with smoldering Pluto via your sixth house of due diligence; this is creating friction between your tedious to-do list and the desire to experience something new. It’s enticing. Don't let mundane affairs stifle your romantic connection. If you're too busy, there's always WiFi.
","When it comes to the future, you should dream big. It's not about the money; it's about the happiness. Do whatever it takes to make sure you aim high and reach your mark.","Leo, this is your lucky break! All of the work that you’ve put in thus far can now start to manifest in your reality. If you have worked on a long-term project, or have made a career shift this is a time when you can start to feel forward movement. This is due to the planet of action, Mars in Leo in your first house of self and forming a square to Uranus in Taurus in your career sector. While this change can feel jarring, it is necessary to move towards what works for you.
 
","For a celebrity sighting, look in the mirror! You're a star -- and you know it."
"July 3, 2021",Leo,"Today’s cosmic landscape requires patience and steadiness, Leo. Hotheaded Mars forms an intense square with erratic Uranus today, highlighting underlying tensions between your sense of independence and the demands of your career. Rather than set everything on fire, aim to see where you can create space. Be especially mindful of your body, refrain from risky activities, and work to seek a physical outlet to stay sane! 
","Leave your ego at home, just for today, Leo. Single or already attached, you could run into a quarrel with your lover today—but not if you can help it. In addition to the moon entering Taurus, igniting your ambitious tenth house of career, legacy, and reputation in the world, it will sextile Jupiter—the ruler of your passionate love sector—via your sultry eighth house of intimacy. Are your romantic connections built with integrity? Have you been over-indulging on seduction and power? Sounds like some celestial erotica, but Luna's square to Venus in your sign will do the trick. How much is too much?
","You might be feeling a little tight in the wallet and less than eager to spend money  you don't have on dates. Nobody will think less of you, and they might even follow your example.","Leo, this is a good day to manage your emotions when it comes to your career. Sudden changes can feel shocking, but ultimately they are beneficial for your wallet. The comfortable Taurus moon is in your tenth house of career and is forming a positive connection with expansive Jupiter retrograde in Pisces in your eighth house of shared resources. You can experience changes in the hierarchical structure at work, or find yourself in a new leadership position. You can make it through Lion, it's for the best.
 
",Been watching your money? Great news -- you're closer to your goal than you thought.
"June 27, 2021",Leo,"Relationships have been your core point of focus this year, Leo. There’s been so much learning and unlearning in that arena, and Sunday’s skies highlight the evolution of this narrative. The moon drifts through logic-first Aquarius and merges with heavy Saturn, prompting a realistic, re-evaluation of partnership matters. Fortunately, the mood lightens later on, when the moon swirls with expressive Mercury. 
","Today's sky can seem ironic—and I'll tell you why. For starters, the goddess of love will make her vivacious debut in your sign, adorning your aura with Venusian effervescence and charming charisma, which is always a plus for attracting abundance, and potential suitors. However, Luna's conjunction with Saturn in your committed seventh house of one-on-one connections could feel somewhat like a Debbie Downer moment when it comes to your realm of relationships. Nevertheless, this is an opportunity for you to reassess and reevaluate everything from your romantic desires to your values in the love department. Today's harsh realities are a blessing in disguise, Leo.
","You can learn a lot from your friends today, but you really need to listen. It might be time for one of them to go through a big change, but they need you to give them the okay for some reason.","Leo, you are feeling vibrant and lucky today! Venus, the planet of peace, is moving into Leo in your first house of identity. This is an extremely empowering transit, as Venus makes everything easier for you. Not only that, but the planet of energy and drive is also in Leo and empowering you forward. Expect positive changes and shifts in your career with this transit too. Venus and Mars will start to form a transformative aspect with Uranus in Taurus in your professional tenth house.
",You and a friend share a goal -- why not work together and double your chances?
"June 28, 2021",Virgo,"In true Virgo fashion, you’re looking to indulge in some productive efforts. The logical Aquarius moon sends your focus towards any looming errands on your to-do list. Luna’s lack of cosmic action suggests small fixes and low-key maintenance, rather than launching into major new ventures. Later on, the moon dives into dreamy Pisces and merges with optimistic Jupiter, bringing a sweet boost to close partnerships.
","Secret love affair? You may or may not be a fan of anything scandalous or remotely shady, but you might as well indulge in the thrill of it all, Virgo. This is especially true with both Mars—the ruler of your erotic eighth house of sex, mergers, intimate unions, and soulmate connections—and Venus sizzling through your secretive twelfth house of closure, dreams, clandestine affairs, hidden affairs, and all things behind the scenes, so never say never. Meanwhile, today's moon will slip into, Pisces, via your committed seventh house of significant others. This is bringing emphasis to your one-on-one connections.
","You need to be around people today no matter how you feel on the inside. Of course, if you're in a good mood, it's easy, but if not, you just need to grit your teeth and force a smile.","You may feel less stuck in your work today, Virgo. The Aquarius moon is in your sixth house of work, duty, and routine, forming a positive aspect with your ruling planet, Mercury, in Gemini in your career sector. This is giving a positive boost to your life path, creating movement where you have been experiencing some stagnancy. Perhaps a new work contract is settled, or you finally reach a conclusion on a busy project. 
","Don't think with your heart. Turn off your emotions -- look at cold, hard facts."
"June 29, 2021",Virgo,"Send your focus towards your close one-on-ones today, Virgo. What projections are getting in the way of honest relating? The deep-feeling Pisces moon asks you to explore what needs changing in the partnership arena. This placement can have you bending over backwards for others too, so be mindful of your own boundaries. Elsewhere, Luna’s stimulating contact with Uranus brings a jolt of fresh insight to long-held misconceptions.
","Keep an open mind, Virgo. Your main squeeze and/or potential suitors can be more inspiring than you give them credit for. After all, they say everyone who comes into your life is a reflection of you—so, why not give it a chance? This is especially true with today's sweet sextile between the moon in your committed seventh house of significant others and freedom-loving Uranus in your expansive ninth house of adventure. You're being given tremendous insight when it comes to a special someone in your life. The sun will also be in harmony with the moon, so your intuition is on point.
","You find that other people (even the ones you kind of hate) energize your creative side today. The more time you spend around them, the more interesting your new ideas turn out.","Dear Virgo, tension can ensue with a client or a long-term working relationship. Another way this could manifest is by leaving an employer or your current work. This is due to the Pisces moon in your seventh house of collaboration, forming a difficult aspect with Mercury in Gemini in your career sector. While this can be jarring, it is a change for the better, especially because Jupiter in Pisces retrograde is also influencing this energy. Jupiter represents growth and expansion, and this is a time when you can experience this. 
",Bask in the glow of the people in your life -- go on a picnic or take a hike.
"June 30, 2021",Virgo,"Your relationships are shapeshifting before your very eyes today, Virgo. The moon’s presence in your opposite sign of otherworldly Pisces places an important emphasis on unexplored relationship stories today. Luna’s union with reality-bending Neptune imbues the day with a confusing, unrealistic haze—especially around partnerships. Later, the moon’s meet up with Pluto helps you explore what needs healing around your approach to playful romance and sex.
","Virgo, beware of manipulative tactics and subtle jabs. This could very well be coming from you and your mercurial mind, so apply the roles accordingly. In the meantime, the moon continues to wander through your committed seventh house of agreements, compromise, significant others, and one-on-one relationships—but there's more. Luna will join forces with all-encompassing Neptune, and simultaneously sextile smoldering Pluto via your romantic fifth house of love, passion, and self-expression. This not only intensifies the romantic fantasy of your situationship, it also takes things a bit deeper. Karma is indeed real—so, I hope neither of you uses subliminal mind games to get the job done.
","Stick with the plan today even if events seem to have made it look silly. Improvising doesn't go all that well for you right now, but things should swing back in your direction really soon.","Realizations surrounding an important career move or work relationship can come through for you today, Virgo. While change can feel challenging, ultimately, it’s for your professional good. This is because of the Pisces moon in your collaboration area forming a harsh aspect with your ruling planet, Mercury, in Gemini in your career sector. Miscommunication can reveal what is no longer a good fit for you professionally. Make the right change for yourself.
",Energy is contagious -- so surround yourself with people who have the kind you like.
"July 1, 2021",Virgo,"It’s all too easy to get riled up today, Virgo. Frustration may feel like it’s seeping in from an indiscernible location, as hot-headed Mars locks into an opposition with realistic Saturn. This unsettling contact can bring anger issues to the surface—especially around authority and your work environment. Slow your pace today and reassess the best path forward on the job front, rather than lash out.
","You've always been somewhat of an enigma… but the current astro weather feels extra mysterious, Virgo. See, in addition to the moon transiting your haunted eighth house of sex, entanglements, intimate unions, and energetic exchanges, it will also form a harmonious trine to both Mars and Venus via your secretive twelfth house of closure, dreams, hidden agendas, and all things behind the scenes. A secret love affair, perhaps? Sounds cliché, but who are we kidding? You're doing a lot of reflecting, and perhaps even silently strategizing your next move. Falling for someone? You're seeing things in a different light, and it's part of your evolution process. Don't give up.
","People are mobbing around you today, but sadly not in admiration -- they're breathing down your neck. Try to ignore all the huffing and puffing and just patiently make your way through the daily grind.","Virgo, the cosmos is giving you a dose of mental energy at this time. The planet of communication, Mercury, is in Gemini in your tenth house of career, clarifying where you want your work to go. Perhaps you have overanalyzed in the past and this has held you back? Now through the power of your planetary ruler, you can take time to think clearly of a path forward. Decide first what’s right for you—and use mental discernment to do so. 
",Get to some kind of stretching class. Your quads and your mind need flexibility!
"July 2, 2021",Virgo,"You’re in need of healing today, Virgo. Be easy on yourself if productive action doesn’t “click on” like a light switch. The self-concerned Aries moon points your focus towards relationship hang-ups and any unexpressed feelings that need honoring. It’s an ideal day to seek out a therapeutic outlet. Luna’s smooth connection with your ruling planet, mental Mercury, offers you the chance to regain equilibrium between head and heart.
","Your feelings are intense, and there's no reason for you to hide them, Virgo. Audacious Mars governs your erotic eighth house of intimacy, and the moon is not only in harmony with the red planet, but it’s also igniting this sultry area of your birth chart. The challenge? Luna will face off with smoldering Pluto via your romantic fifth house of love, infatuation, pleasure, and self-expression, creating tension between your obsessive longing for affection and the weight of your prior commitments. Is this something you're ready to let go of? With Mars and Venus hovering over your twelfth house of surrender, it could be about that time. Let it go and start again.
",Recharge your phone batteries: It's going to be a busy night. Plans will change and the guest list could add a few pleasant surprises. Get ready for craziness.,"It’s time for you to look at the details Virgo. You are already extremely accurate in your work, and the transits are strengthening this super power. The planet of communication, Mercury is in Gemini in your tenth house of career and adding a major dose of accuracy to everything you do. If you can, focus on tedious tasks or what requires focus. You can accomplish a lot during this clear portal of mental clarity.
 
",Call on your ability to go with the flow. Flexibility will save you many headaches.
"July 3, 2021",Virgo,"Things are intensifying under Saturday’s skies, Virgo. Self-assertive Mars locks into a square with rebellious Uranus, intensifying your mental atmosphere. This aspect encourages you to seek freedom from restrictive circumstances—specifically those concerned with educational plans or your big picture perspective. Aim to free up space in your mental world and physical routine. Otherwise, this aspect can create irritable stress.
","Take a risk for the love you crave, Virgo. Granted, your mercurial mind is not very fond of the unknown, but you never really know until you try. In addition to the moon slipping into your sister earth sign, Taurus, it will ignite your thrill-seeking ninth house of adventure, expansion, and worldly mysteries. This is highlighting everything from your desire for new experiences in love to everything you need to accomplish before you take the leap. Although, you might be overthinking next steps, as Luna's sextile to Jupiter in your relationship sector is encouraging you to have faith and trust the process. Life is a gamble, after all.
",You're a big star at the moment; you can work the situation to your advantage with ease. People are really coming to respect you and your achievements.,"Virgo, travel or dealing with international matters can develop for you at this time. The Taurus moon is in your ninth house of higher learning and wisdom, forming a positive aspect with Jupiter retrograde in Aquarius in your collaboration sector. There could be clients from a global perspective that can bring positive growth to your work. This is also a time of learning something new and expanding your horizons. 
 
","You've been hitting it out of the park, and your achievements will be recognized."
"June 27, 2021",Virgo,"Even though it’s the weekend, you’re looking to stay on top of productivity, Virgo. The moon floats through intellectual Aquarius and merges with structure-seeking Saturn today, prompting you to explore any realistic changes needing to be made on the job front. The energy quickly shifts from heavy to pleasant when the moon dances with playful Mercury. This contact makes it easy to push ahead with career projects that require mental clarity.
","Single or attached, chances are you're consciously making it a point to lay low for the time being, Virgo. For instance, in addition to the astrological activity taking place in your responsible sixth house of health, daily rituals, and due diligence, you're also in the midst of exploring other options surrounding your future endeavors. Nevertheless, this is happening while the planet of love, harmony, and romance is entering the flamboyant sign of Leo—whilst slipping into your secretive twelfth house of closure, dreams, karma, and all things behind the scenes. So, you're either deciding to keep your love loved down or on a more mystical note, seduce your lover in the 5D.
","The day is full of potential, but that doesn't have any value if you don't work at it! Do whatever you can to make the most of what you have. If it all works out, you're golden!","Express your hidden playful spirit and creativity today, Virgo. With the sign of Leo in your hidden twelfth house, this is a side to yourself that you normally don’t share with colleagues. With harmonious Venus moving into Leo, you can start to feel the need to express yourself in your work more authentically. Not only that, but the innovative Aquarius moon is in your work sector and also activating Venus. Together, think of how you can do things differently and your work will improve in a major way.
",Think quickly and you'll come up with the answer. Your mind is sharper than ever.
"June 28, 2021",Libra,"Monday’s skies make it hard to kick things into high gear, Libra. Let yourself coast, as the future-oriented Aquarius moon focuses your efforts on creative outlets and pleasure-seeking. Save any productive action for the second half of the day, when Luna dips into soulful Pisces and merges with hopeful Jupiter. This aspect can bring a boost of faith and inspiration to work projects.
","The moon slips into dreamy Pisces today, activating your responsible sixth house of health, daily rituals, and due diligence… but it will also simultaneously join forces with Jupiter in the process. Lots on your plate today, Libra? Perhaps, but it doesn't end there. With both your luscious planetary ruler, Venus, and Mars—celestial ruler of your committed seventh house of one-on-one relationships and significant others—illuminating your freedom-loving eleventh house of associations, community and sense of belonging in the world, chances are you'll be distracted by the heart-eyes and double-taps happening in your social media platforms. You may be in the mood to flirt, but there are no strings attached.
","Try to let other folks do what they need to do even if they seem to be getting in your way. Your flexibility makes a huge difference, and you should end up getting a sweet reward in the end.","Libra, there is a major focus placed on your career right now. The sun in Cancer is activating this area of your life and encouraging growth. The sun is forming auspicious connections with Jupiter and Neptune retrograde in your sixth house of work. This is where you can experience abundance from your past efforts and personal growth. If you have been putting a lot of work into a project, now you may start to experience the fruits of your labor. 
",Your happiness gives hope to others -- use your sunshine to cheer up a blue friend.
"June 29, 2021",Libra,"Pour yourself into your workflow today, Libra. You’ve got all the energy and inspiration you need to do something with your craft and make your abilities shine. The moon’s presence in soulful Pisces can stir up rich inspirations from the deep, making it easy to let your skills garner attention. Meanwhile, Luna’s supportive connection with stimulating Uranus encourages helpful change in the intimacy department.
","You're feeling inspired and you're ready to work on your relationship, Libra. In addition to the moon transiting your responsible sixth house of health, daily rituals, and due diligence—putting a spotlight on the details—it will simultaneously sextile freedom-loving Uranus via your sultry eighth house of sex, intimate unions, and soulmate connections. Ready to set yourself free? Whether it be in terms of your sexuality, or perhaps toxic energy that exists in your current relationship, today's astrology is here to liberate you in more ways than one. The catch? Luna will clash with Mercury, so your emotions may or may not sync with your thoughts. Stay grounded.
",Look at things a little differently today. You need to make sure you're not so worried about big issues that you can't enjoy your normal life. Everything should work out fine soon.,"Work is a major place of focus for you today, Libra. The Pisces moon is in your sixth house of work, forming a harmonious aspect with the Cancer sun in your tenth house of career. This is a synergistic connection that can energize you forward in this area of life. The key to this time is to tap into the emotional energy of Cancer and Pisces to navigate. While this may not feel like the most natural for you as an air sign, taking time to check in with your emotions while making work decisions is ideal.
","Appreciate the small things in life, and you'll realize just how beautiful life is."
"June 30, 2021",Libra,"Use Wednesday’s inspired skies to your advantage, Libra. The otherworldly Pisces moon spends the day merged with mystical Neptune, creating a deeply imaginative atmosphere to apply towards your craft. On a lower level, this can also manifest as a feeling of sleepy, slowness around any mundane work activities—so, aim to get creative instead! Later, Luna’s connection with healing Pluto hints at what needs changing on the home and family front.
","Get organized and focus on sprucing up your living space, Libra. This is especially true with today's moon-Neptune conjunction igniting your responsible sixth house of due diligence—not to mention while making a sextile to Pluto in your domestic fourth house of home. The catch? You could be over sacrificing yourself and/or putting in most of the work. So, don't forget to take turns with your cutie. Single? You could have a lot going on at home, or perhaps you're simply too distracted minding your own business. If that's the case, it's time to do what you do best and find a healthy balance
","Try to release even more of that creative energy. There's no use hoarding it! Make something beautiful or compose the perfect mash note. Whatever it is, do it with your usual style!","Libra, you can feel extremely busy today. Tasks are being thrown at you, and as a result, it can feel hard to juggle everything. The Pisces moon is activating confusing energy with Neptune retrograde in your sixth house of work. You may feel tension with colleagues when miscommunication ensues. Take your time and create a clear list of what you need to get done today. You also can articulate your limits to others, you shouldn’t have to burn yourself out. Seek support. 
",Share your gratitude -- help loved ones realize that beauty exists all around them.
"July 1, 2021",Libra,"July’s arrival brings some potent energy to contend with, Libra. Self-concerned Mars locks into a frustrated opposition with wall-building Saturn today, prompting a suddenly slowed downward pace with the need to reassess both creative projects and romantic relationships. This contact may highlight where you need more structure and realism in these arenas—especially where it comes to achieving your long-term goals.
","Libra, you're being given the opportunity to lean on your friends for support and explore your horizons when it comes to romance. Keep in mind, the moon will enter Aries today and, in turn, it will activate your harmony-seeking seventh house of significant others and one-on-one relationships. Luna will sit together with the wounded healer, Chiron, which means there's an opportunity for you to find healing in the process. Moreover, the moon will be making harmonious aspects to both Mars and your coquettish planetary ruler, Venus, via your eleventh house of community and individual freedom. There's an opportunity to connect, but only if you're up for it.
","Today is the perfect day to explore your artsy side. Collaborate with a group who makes you laugh, and you'll accomplish more than you ever imagined possible. Details? Pshaw. Who cares about details?","Be careful of challenging discussions in your work, Libra. The Aries moon is in your collaboration sector and forming a difficult aspect with the Cancer sun in your tenth house of career. The moon is also forming an exacerbating connection with Chiron. This can bring about power struggles in a serious work relationship. First, take time to honor what is fair and balanced for you first. As the sign that loves harmony, sometimes you can.
","Get creative. You'll come up with some interesting, beautiful, lucrative things."
